Press
		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	alpha	20.03	0.06609	8.175E-4	19.9	20.03	20.16	1	10000
	beta	0.4402	0.007831	8.336E-5	0.4248	0.4402	0.4555	1	10000
	sigma	0.3659	0.04982	5.193E-4	0.2824	0.3607	0.4755	1	10000
	tau	7.875	2.083	0.02073	4.425	7.688	12.54	1	10000

Logpress
		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	alpha	129.4	0.06757	8.357E-4	129.3	129.4	129.6	1	10000
	beta	0.9063	0.008007	8.523E-5	0.8906	0.9063	0.9219	1	10000
	sigma	0.3741	0.05094	5.309E-4	0.2888	0.3687	0.4861	1	10000
	tau	7.534	1.993	0.01983	4.233	7.355	12.0	1	10000
